opportunity_id,account_id,account_name,outcome,created_date,close_date,segment,region,industry,product_tier,value_metric,list_acv,booked_acv,platform_fee_acv,usage_acv,term_months,quantity,rep_id,approved_by,competitor_present,lost_reason
OPP-00000,ACC-0090,Pinnacle Cloud,closed_lost,2024-11-27,2024-12-11,MidMarket,NA,MarTech,Scale,hybrid,33999.81,30934.52,19123.76,11810.76,12,1715.0,REP-09,,true,price
OPP-00001,,  Ironclad Cloud Co. ,closed_lost,2024-07-22,2024-11-18,MidMarket,NA,Vertical SaaS,Growth,hybrid,40209.13,36087.31,24599.74,11487.57,12,13041.0,REP-03,,false,no_decision
OPP-00002,ACC-0198,  VANTAGE INC. ,closed_won,2025-01-30,2025-02-06,SMB,EMEA,Security,Scale,consumption,23512.09,21507.44,0.0,21507.44,24,1254.0,REP-04,,false,
OPP-00003,ACC-0258,Ironclad Networks LLC,closed_won,2025-04-16,2025-06-12,MidMarket,EMEA,Data/Analytics,Growth,hybrid,45165.28,40044.66,28118.76,11925.9,12,2302.0,REP-11,,true,
OPP-00004,ACC-0130,Monarch Software,closed_won,2024-08-18,2024-12-07,Enterprise,NA,FinTech,Growth,consumption,340232.9,284600.12,0.0,284600.12,24,209653.0,REP-09,MGR-04,false,
OPP-00005,,Umbra Networks LLC,closed_won,2024-06-24,2024-09-25,Enterprise,EMEA,DevTools,Enterprise,hybrid,275748.4,208931.85,119626.54,89305.31,24,17396.0,REP-10,MGR-01,false,
OPP-00006,ACC-0091,Juniper Labs Corp.,closed_won,2024-11-18,2025-01-09,Enterprise,EMEA,Vertical SaaS,Scale,hybrid,203436.5,153286.43,47524.36,105762.07,36,22867.0,REP-02,MGR-01,true,
OPP-00007,ACC-0038,fathom systems inc,closed_won,2025-03-21,2025-06-04,Enterprise,NA,Security,Enterprise,hybrid,264729.24,235173.69,137740.11,97433.58,12,13799.0,REP-04,,true,
OPP-00008,,Aurora Software,closed_lost,2025-01-21,2025-04-15,SMB,NA,FinTech,Enterprise,seats,12004.07,12004.07,12004.07,0.0,12,6.0,REP-09,,false,no_decision
OPP-00009,,Cobalt Cloud Inc.,closed_won,2024-10-25,2024-12-09,MidMarket,EMEA,Infra/API,Enterprise,hybrid,153472.86,130209.49,54844.26,75365.23,36,8744.0,REP-03,,true,
OPP-00010,,Initech Inc.,closed_lost,2024-11-10,2024-12-20,SMB,APAC,DevTools,Growth,seats,8166.13,7891.78,7891.78,0.0,24,5.0,REP-09,,false,price
OPP-00011,ACC-0264,Pinnacle Networks Inc,closed_won,2025-02-18,2025-05-16,SMB,NA,DevTools,Growth,consumption,16958.56,14491.86,0.0,14491.86,36,3546.0,REP-01,,true,
OPP-00012,ACC-0149,"Fathom Software, Inc.",closed_lost,2024-11-21,2025-01-22,MidMarket,EMEA,MarTech,Scale,consumption,51176.63,40165.58,0.0,40165.58,12,2554.0,REP-00,,true,product
OPP-00013,ACC-0059,  Fathom Digital Corp. ,closed_won,2024-08-23,2024-11-25,Enterprise,NA,Vertical SaaS,Scale,consumption,315473.7,238751.39,0.0,238751.39,12,18020.0,REP-10,MGR-00,true,
OPP-00014,ACC-0175,Monarch AI,closed_won,2025-02-03,2025-03-12,SMB,EMEA,Infra/API,Growth,seats,22541.42,19318.97,19318.97,0.0,36,9.0,REP-03,,true,
OPP-00015,ACC-0172,Solstice Cloud,closed_won,2024-06-17,2024-09-21,SMB,NA,Infra/API,Scale,seats,19676.79,17005.59,17005.59,0.0,24,10.0,REP-02,,false,
OPP-00016,ACC-0115,Lumen Software Corp.,closed_lost,2024-09-04,2024-12-10,Enterprise,EMEA,Data/Analytics,Enterprise,hybrid,514242.3,387036.68,140765.19,246271.49,12,30376.0,REP-03,MGR-02,false,product
OPP-00017,ACC-0191,Onyx LLC,closed_lost,2024-12-14,2025-02-16,MidMarket,APAC,FinTech,Scale,seats,28121.67,25003.9,25003.9,0.0,36,15.0,REP-00,,false,product
OPP-00018,ACC-0078,Vertex Digital,closed_lost,2024-11-19,2025-01-14,SMB,NA,Vertical SaaS,Enterprise,seats,15277.51,14928.31,14928.31,0.0,24,6.0,REP-09,,false,timing
OPP-00019,ACC-0182,Globex Technologies Inc,closed_lost,2024-07-26,2024-09-22,MidMarket,NA,MarTech,Growth,hybrid,31968.79,25818.3,10327.57,15490.73,12,1487.0,REP-10,,true,competitor
OPP-00020,ACC-0238,COBALT AI INC.,closed_won,2024-07-23,2024-10-13,MidMarket,EMEA,Infra/API,Scale,consumption,73895.81,68812.51,0.0,68812.51,12,3279.0,REP-00,,false,
OPP-00021,ACC-0028,WAVELENGTH TECHNOLOGIES LLC,closed_lost,2024-10-04,2024-11-16,SMB,NA,Data/Analytics,Enterprise,consumption,15089.57,13415.96,0.0,13415.96,36,741.0,REP-07,,true,competitor
OPP-00022,ACC-0136,"KESTREL AI, INC.",closed_lost,2024-09-28,2024-12-17,Enterprise,NA,Vertical SaaS,Growth,hybrid,409590.24,333089.65,211056.91,122032.74,12,65790.0,REP-04,MGR-02,false,no_decision
OPP-00023,ACC-0198,Vantage Inc.,closed_lost,2024-07-03,2024-09-28,MidMarket,NA,Infra/API,Starter,hybrid,50775.77,34812.5,22729.78,12082.72,12,90805.0,REP-08,MGR-02,true,product
OPP-00024,,EQUINOX LABS INC.,closed_lost,2024-06-23,2024-10-06,Enterprise,EMEA,DevTools,Scale,hybrid,202394.17,172874.12,52371.07,120503.05,12,140817.0,REP-08,,false,timing
OPP-00025,ACC-0189,"Oasis Data, Inc.",closed_lost,2024-12-27,2025-02-04,SMB,APAC,Infra/API,Enterprise,seats,14516.52,12586.61,12586.61,0.0,36,11.0,REP-08,,true,product
OPP-00026,,Monarch Cloud,closed_won,2025-05-05,2025-05-29,SMB,NA,Infra/API,Scale,consumption,6133.09,5562.9,0.0,5562.9,36,2596.0,REP-00,,false,
OPP-00027,,Quartz Cloud,closed_won,2024-12-25,2025-03-20,MidMarket,NA,Security,Scale,hybrid,39699.21,29501.21,18722.55,10778.66,36,2379.0,REP-00,MGR-03,true,
OPP-00028,ACC-0205,Quartz Labs Corp.,closed_lost,2025-03-23,2025-05-04,MidMarket,EMEA,Vertical SaaS,Enterprise,consumption,56866.88,50993.36,0.0,50993.36,36,29685.0,REP-11,,false,competitor
OPP-00029,,NIMBUS TECHNOLOGIES INC.,closed_lost,2024-06-08,2024-07-16,SMB,NA,Security,Growth,seats,7490.21,6594.86,6594.86,0.0,36,7.0,REP-01,,true,price
OPP-00030,ACC-0108,Zephyr AI Corp.,closed_lost,2024-10-18,2025-01-10,SMB,EMEA,Data/Analytics,Scale,consumption,10973.46,10973.46,0.0,10973.46,36,1323.0,REP-06,,false,price
OPP-00031,ACC-0098,Pinnacle Software Corp.,closed_won,2025-04-18,2025-05-28,MidMarket,NA,Infra/API,Starter,seats,132710.85,118556.34,118556.34,0.0,12,55.0,REP-05,,false,
OPP-00032,ACC-0025,Wavelength Labs Corp.,closed_won,2024-04-27,2024-08-14,Enterprise,EMEA,Infra/API,Starter,consumption,200482.64,161963.41,0.0,161963.41,12,19036.0,REP-04,MGR-02,true,
OPP-00033,ACC-0216,Northwind Software Inc.,closed_won,2024-07-30,2024-08-24,MidMarket,NA,MarTech,Growth,hybrid,49405.42,42528.71,16479.66,26049.05,12,4324.0,REP-00,,false,
OPP-00034,,ironclad cloud llc,closed_won,2025-04-11,2025-05-19,SMB,NA,Infra/API,Growth,hybrid,15126.88,12128.36,7638.19,4490.17,12,622.0,REP-02,,true,
OPP-00035,ACC-0260,Quartz Software LLC,closed_lost,2024-08-21,2024-11-16,MidMarket,EMEA,Infra/API,Starter,seats,44841.75,38869.26,38869.26,0.0,12,45.0,REP-06,,false,no_decision
OPP-00036,,Fathom Networks Co.,closed_won,2024-08-08,2024-09-13,SMB,APAC,Security,Growth,hybrid,17867.12,15014.76,8248.93,6765.83,24,1155.0,REP-01,MGR-01,true,
OPP-00037,ACC-0267,Halcyon Systems Co.,closed_won,2025-02-16,2025-04-15,MidMarket,NA,DevTools,Scale,seats,40751.64,31676.71,31676.71,0.0,12,45.0,REP-08,,false,
OPP-00038,ACC-0041,  Ironclad Software Inc. ,closed_won,2024-12-10,2025-02-01,SMB,NA,Infra/API,Scale,seats,10972.99,10046.85,10046.85,0.0,12,5.0,REP-10,,false,
OPP-00039,ACC-0048,Tessera Networks Co.,closed_won,2024-05-07,2024-07-25,MidMarket,NA,Infra/API,Growth,seats,68673.52,53333.02,53333.02,0.0,12,59.0,REP-07,MGR-00,true,
OPP-00040,ACC-0104,Kestrel Networks Inc.,closed_won,2024-11-05,2025-01-29,MidMarket,NA,Vertical SaaS,Growth,seats,28018.92,25067.25,25067.25,0.0,24,32.0,REP-09,,true,
OPP-00041,ACC-0008,Umbra Labs Inc,closed_lost,2025-03-06,2025-04-28,SMB,NA,Vertical SaaS,Starter,hybrid,13174.04,10933.57,1640.04,9293.53,12,972.0,REP-07,MGR-02,true,competitor
OPP-00042,,tessera labs corp.,closed_won,2024-12-15,2025-02-02,SMB,EMEA,FinTech,Starter,seats,14196.21,12923.07,12923.07,0.0,12,6.0,REP-08,,true,
OPP-00043,ACC-0195,"Catalyst Software, Inc.",closed_won,2025-03-10,2025-05-27,Enterprise,NA,Data/Analytics,Growth,hybrid,251333.28,191836.62,73864.74,117971.88,12,26331.0,REP-00,MGR-01,true,
OPP-00044,ACC-0198,Vantage Corp.,closed_lost,2024-05-11,2024-07-04,MidMarket,NA,FinTech,Starter,hybrid,107515.53,92167.05,37188.36,54978.69,12,10359.0,REP-06,,false,competitor
OPP-00045,ACC-0064,Lumen Systems Corp.,closed_lost,2024-12-12,2025-02-03,SMB,EMEA,FinTech,Growth,hybrid,12172.53,11161.09,5729.29,5431.8,36,1109.0,REP-02,,false,price
OPP-00046,,"Ridgeline Cloud, Inc.",closed_lost,2024-12-25,2025-03-14,SMB,NA,Vertical SaaS,Growth,consumption,14909.9,12521.0,0.0,12521.0,12,1697.0,REP-02,,true,competitor
OPP-00047,,Meridian Labs,closed_lost,2024-12-06,2025-03-03,Enterprise,NA,FinTech,Starter,consumption,167282.35,139177.65,0.0,139177.65,24,22452.0,REP-10,,false,product
OPP-00048,ACC-0189,Oasis Data Inc,closed_won,2025-02-07,2025-03-18,MidMarket,EMEA,Infra/API,Growth,hybrid,57326.59,50280.09,13128.09,37152.0,24,12641.0,REP-09,,false,
OPP-00049,,  Fathom Labs Inc. ,closed_won,2024-11-01,2024-12-02,Enterprise,EMEA,MarTech,Starter,consumption,361400.9,253685.9,0.0,253685.9,12,15851.0,REP-01,MGR-03,true,
OPP-00050,,Meridian Systems Inc,closed_won,2024-07-26,2024-09-15,SMB,NA,Vertical SaaS,Starter,hybrid,7132.25,7121.04,3189.93,3931.11,12,474.0,REP-11,,false,
OPP-00051,ACC-0113,acme systems co.,closed_won,2024-06-16,2024-07-14,MidMarket,NA,Infra/API,Scale,seats,34608.71,28806.01,28806.01,0.0,12,40.0,REP-06,MGR-04,false,
OPP-00052,ACC-0048,Tessera Networks Inc,closed_lost,2024-12-05,2025-02-06,SMB,NA,Vertical SaaS,Starter,hybrid,9133.33,7683.58,3387.16,4296.42,12,592.0,REP-07,MGR-03,true,product
OPP-00053,ACC-0075,"Zephyr Software, Inc.",closed_won,2024-12-02,2024-12-22,SMB,NA,Security,Starter,hybrid,28499.7,27370.1,12616.17,14753.93,36,3406.0,REP-00,,false,
OPP-00054,ACC-0264,pinnacle networks inc,closed_lost,2025-04-30,2025-05-20,MidMarket,NA,Security,Enterprise,hybrid,102734.21,87106.56,31891.19,55215.37,12,30501.0,REP-10,MGR-03,true,timing
OPP-00055,ACC-0136,Kestrel AI Inc,closed_lost,2025-02-19,2025-04-16,MidMarket,EMEA,FinTech,Scale,consumption,52996.39,40907.76,0.0,40907.76,36,7480.0,REP-11,MGR-04,true,product
OPP-00056,ACC-0297,Halcyon Software Inc.,closed_lost,2024-09-06,2024-10-20,SMB,APAC,Security,Starter,seats,10788.09,10202.37,10202.37,0.0,24,12.0,REP-09,,true,product
OPP-00057,ACC-0197,ridgeline software llc,closed_lost,2024-05-18,2024-07-07,MidMarket,NA,Infra/API,Growth,hybrid,63064.24,48674.26,20717.96,27956.3,12,3292.0,REP-02,MGR-04,true,price
